input_id,accent_group,noise_condition,wer,cer,model
us_000_clean,us,clean,0.0,0.0,whisper-base
us_000_snr10,us,snr10,0.2,0.0526315789473684,whisper-base
us_000_snr0,us,snr0,0.8,0.6842105263157895,whisper-base
us_001_clean,us,clean,0.0,0.0,whisper-base
us_001_snr10,us,snr10,0.0,0.0,whisper-base
us_001_snr0,us,snr0,0.0,0.0,whisper-base
us_002_clean,us,clean,0.0,0.0,whisper-base
us_002_snr10,us,snr10,0.0,0.0,whisper-base
us_002_snr0,us,snr0,0.0,0.0,whisper-base
us_003_clean,us,clean,0.0,0.0,whisper-base
us_003_snr10,us,snr10,0.0,0.0,whisper-base
us_003_snr0,us,snr0,0.0,0.0,whisper-base
us_004_clean,us,clean,0.0,0.0,whisper-base
us_004_snr10,us,snr10,0.0,0.0,whisper-base
us_004_snr0,us,snr0,0.3636363636363636,0.3859649122807017,whisper-base
us_005_clean,us,clean,0.1666666666666666,0.0579710144927536,whisper-base
us_005_snr10,us,snr10,0.1666666666666666,0.0869565217391304,whisper-base
us_005_snr0,us,snr0,0.4166666666666667,0.3333333333333333,whisper-base
us_006_clean,us,clean,0.0,0.0,whisper-base
us_006_snr10,us,snr10,0.0,0.0,whisper-base
us_006_snr0,us,snr0,0.0,0.0,whisper-base
us_007_clean,us,clean,0.0,0.0,whisper-base
us_007_snr10,us,snr10,0.0,0.0,whisper-base
us_007_snr0,us,snr0,0.0,0.0,whisper-base
us_008_clean,us,clean,0.3333333333333333,0.0869565217391304,whisper-base
us_008_snr10,us,snr10,0.3333333333333333,0.0869565217391304,whisper-base
us_008_snr0,us,snr0,1.0,0.6956521739130435,whisper-base
us_009_clean,us,clean,0.5714285714285714,0.3414634146341463,whisper-base
us_009_snr10,us,snr10,0.4285714285714285,0.2195121951219512,whisper-base
us_009_snr0,us,snr0,0.8571428571428571,0.6585365853658537,whisper-base
india_000_clean,india,clean,0.25,0.0597014925373134,whisper-base
india_000_snr10,india,snr10,0.3333333333333333,0.1194029850746268,whisper-base
india_000_snr0,india,snr0,0.75,0.5671641791044776,whisper-base
india_001_clean,india,clean,0.1,0.0425531914893617,whisper-base
india_001_snr10,india,snr10,0.1,0.0425531914893617,whisper-base
india_001_snr0,india,snr0,0.1,0.0425531914893617,whisper-base
india_002_clean,india,clean,0.2777777777777778,0.1333333333333333,whisper-base
india_002_snr10,india,snr10,0.1666666666666666,0.1111111111111111,whisper-base
india_002_snr0,india,snr0,0.9444444444444444,0.7222222222222222,whisper-base
india_003_clean,india,clean,0.0,0.0,whisper-base
india_003_snr10,india,snr10,0.0,0.0,whisper-base
india_003_snr0,india,snr0,0.0,0.0,whisper-base
india_004_clean,india,clean,0.6,0.3076923076923077,whisper-base
india_004_snr10,india,snr10,1.2,0.6410256410256411,whisper-base
india_004_snr0,india,snr0,1.0,0.8717948717948718,whisper-base
india_005_clean,india,clean,0.125,0.1428571428571428,whisper-base
india_005_snr10,india,snr10,0.5,0.4047619047619047,whisper-base
india_005_snr0,india,snr0,1.125,0.5238095238095238,whisper-base
india_006_clean,india,clean,0.2857142857142857,0.1860465116279069,whisper-base
india_006_snr10,india,snr10,1.0,0.3023255813953488,whisper-base
india_006_snr0,india,snr0,1.0,0.6744186046511628,whisper-base
india_007_clean,india,clean,0.0,0.0,whisper-base
india_007_snr10,india,snr10,0.4285714285714285,0.2058823529411764,whisper-base
india_007_snr0,india,snr0,0.2857142857142857,0.2647058823529412,whisper-base
india_008_clean,india,clean,0.375,0.1842105263157894,whisper-base
india_008_snr10,india,snr10,0.625,0.3684210526315789,whisper-base
india_008_snr0,india,snr0,0.875,0.7105263157894737,whisper-base
india_009_clean,india,clean,0.0,0.0,whisper-base
india_009_snr10,india,snr10,1.0,0.8064516129032258,whisper-base
india_009_snr0,india,snr0,1.0,0.7419354838709677,whisper-base
german_000_clean,german,clean,0.1666666666666666,0.0298507462686567,whisper-base
german_000_snr10,german,snr10,0.4166666666666667,0.0895522388059701,whisper-base
german_000_snr0,german,snr0,0.8333333333333334,0.2985074626865671,whisper-base
german_001_clean,german,clean,0.0,0.0,whisper-base
german_001_snr10,german,snr10,0.75,0.2941176470588235,whisper-base
german_001_snr0,german,snr0,0.75,0.6274509803921569,whisper-base
german_002_clean,german,clean,0.4,0.3,whisper-base
german_002_snr10,german,snr10,0.6,0.4,whisper-base
german_002_snr0,german,snr0,1.0,0.8666666666666667,whisper-base
german_003_clean,german,clean,0.2142857142857142,0.0927835051546391,whisper-base
german_003_snr10,german,snr10,0.2142857142857142,0.0618556701030927,whisper-base
german_003_snr0,german,snr0,0.2142857142857142,0.1030927835051546,whisper-base
german_004_clean,german,clean,0.1538461538461538,0.0470588235294117,whisper-base
german_004_snr10,german,snr10,0.1538461538461538,0.0588235294117647,whisper-base
german_004_snr0,german,snr0,0.6153846153846154,0.3294117647058823,whisper-base
german_005_clean,german,clean,0.2307692307692307,0.025,whisper-base
german_005_snr10,german,snr10,0.2307692307692307,0.0875,whisper-base
german_005_snr0,german,snr0,0.3846153846153846,0.1875,whisper-base
german_006_clean,german,clean,0.0,0.0,whisper-base
german_006_snr10,german,snr10,0.0,0.0,whisper-base
german_006_snr0,german,snr0,0.3333333333333333,0.1632653061224489,whisper-base
german_007_clean,german,clean,0.0714285714285714,0.04,whisper-base
german_007_snr10,german,snr10,0.4285714285714285,0.24,whisper-base
german_007_snr0,german,snr0,0.9285714285714286,0.7066666666666667,whisper-base
german_008_clean,german,clean,0.2857142857142857,0.1311475409836065,whisper-base
german_008_snr10,german,snr10,0.2857142857142857,0.1311475409836065,whisper-base
german_008_snr0,german,snr0,0.3571428571428571,0.3278688524590163,whisper-base
german_009_clean,german,clean,0.1538461538461538,0.0769230769230769,whisper-base
german_009_snr10,german,snr10,0.8461538461538461,0.358974358974359,whisper-base
german_009_snr0,german,snr0,1.3846153846153846,0.8974358974358975,whisper-base
us_000_clean,us,clean,0.0,0.0,wav2vec2-960h
us_000_snr10,us,snr10,0.4,0.1052631578947368,wav2vec2-960h
us_000_snr0,us,snr0,0.6,0.4210526315789473,wav2vec2-960h
